"","transect","d_from_path_m","depth.of.sample..cm.","Soil.dry.weight....2.5g.for.plastic.bag.","Oribatids","Mesostigmatids","Prostigmatid","Collembola","Other.arachnids","other_arthropods","notes","density","shannon_index","species_richness","species_evenness","total_abundance","species_evenness <- ifelse(species_richness == 1, 1, shannon_index/log(species_richness))"
"1",1,0,4.8,210.49,0,2,0,2,0,0,"",0.754924372891046,0.693147180559945,2,1,4,1
"2",1,1,4.5,227.72,0,1,0,0,0,2,"",0.871167925987294,0.636514168294813,2,0.91829583405449,3,0.91829583405449
"3",1,2,5,244.69,0,1,0,0,0,4,"2 worms",0.842479676044475,0.500402423538188,2,0.721928094887362,5,0.721928094887362
"4",1,3,4,189.73,0,0,0,0,0,3,"",0.816562124197547,0,1,1,3,1
"5",1,4,5.3,178.59,0,1,0,0,2,4,"Two milipedes and a beetle, a larval stage of something",0.580088804489558,0.955699891112534,3,0.869915529773626,7,0.869915529773626
"6",2,0,5.5,214.68,0,6,0,3,0,0,"",0.671957975966726,0.636514168294813,2,0.91829583405449,9,0.91829583405449
"7",2,1,5.5,209.86,0,4,0,0,0,5,"3 ants",0.656871160966914,0.686961576597323,2,0.991076059838222,9,0.991076059838222
"8",2,2,3.9,196.3,0,0,0,3,0,0,"",0.866500681697357,0,1,1,3,1
"9",2,3,5.4,234.31,0,0,0,2,0,0,"",0.746982246977586,0,1,1,2,1
"10",2,4,4.8,222.81,0,1,0,0,0,0,"",0.7991101692425,0,1,1,1,1
"11",3,0,4.5,256.26,0,0,0,1,1,1,"",0.980350837491235,1.09861228866811,3,1,3,1
"12",3,1,5.4,196.52,0,1,0,2,0,4,"",0.626507409739384,0.955699891112534,3,0.869915529773626,7,0.869915529773626
"13",3,2,4.4,167.83,0,8,0,7,0,1,"",0.656644232732996,0.881532261188164,3,0.802405243670522,16,0.802405243670522
"14",3,3,5,196.04,0,0,0,0,0,1,"1 bettle",0.674975338966688,0,1,1,1,1
"15",3,4,4.2,179.95,0,3,0,0,0,1,"",0.737591285106147,0.562335144618808,2,0.811278124459133,4,0.811278124459133
"16",4,0,3.1,131.65,0,0,0,0,0,1,"",0.73109259610419,0,1,1,1,1
"17",4,1,4.6,149.26,0,3,0,0,0,2,"",0.558597286568446,0.673011667009256,2,0.970950594454669,5,0.970950594454669
"18",4,2,3,157.33,1,1,0,3,0,3,"",0.902824849347319,1.25548232517875,4,0.905639062229566,8,0.905639062229566
"19",4,3,4.7,176.27,0,0,0,1,0,1,"1 milipede",0.645644956303198,0.693147180559945,2,1,2,1
"20",4,4,6.9,314,0,1,0,1,0,1,"1 milipede",0.783418410748546,1.09861228866811,3,1,3,1
