"","Transect","Oribatids","Mesostigmatids","Prostigmatid","Collembola","Other arachnids","...7","...8","...9","...10","...11","shannon_index","species_richness","species_evenness","total_abundance <- rowSums(species_data)"
"1",0,0,1,3,2,0,1.0114043,3,0.9206198,6,NA,1.01140426470735,3,0.920619835714305,6
"2",1,1,1,5,3,1,2,1.4241299,5,0.8848617,12,1.16828245017656,4,0.842737648613667,10
"3",1,2,1,4,6,0,0,0.9164649,3,0.8342023,11,0.916464885539471,3,0.834202288644101,11
"4",1,3,3,1,2,4,1,1.4681399,5,0.9122066,11,1.27985422583367,4,0.923219672335508,10
"5",1,4,4,4,2,1,1,1.4451859,5,0.8979445,12,1.2636544318821,4,0.911533991136831,11
"6",2,0,1,0,0,0,0,0,1,NA,1,0,1,NA,1
"7",2,1,0,2,0,1,0,0.6365142,2,0.9182958,3,0.636514168294813,2,0.918295834054489,3
"8",2,2,1,1,1,2,2,1.549826,5,0.9629611,7,1.33217904021012,4,0.960964047443681,5
"9",2,3,1,3,1,1,0,1.2424533,4,0.8962406,6,1.242453324894,4,0.896240625180289,6
"10",2,4,2,2,2,1,2,1.5810938,5,0.9823888,9,1.35178399428965,4,0.975106032457373,7
"11",3,0,0,3,4,0,0,0.6829081,2,0.9852281,7,0.682908104700472,2,0.985228136034252,7
"12",3,1,0,1,2,1,2,1.3296613,4,0.9591479,6,1.03972077083992,3,0.946394630357186,4
"13",3,2,0,2,3,3,1,1.3107837,4,0.9455306,9,1.08219553003877,3,0.985056822321508,8
"14",3,3,6,4,5,1,2,1.4609707,5,0.9077522,18,1.25115598336363,4,0.902518266288633,16
"15",3,4,7,7,0,1,2,1.1491524,4,0.8289382,17,0.891867395317251,3,0.811812688167266,15
"16",4,0,0,0,1,3,4,0.9743148,3,0.8868595,8,0.562335144618808,2,0.811278124459133,4
"17",4,1,1,3,4,1,1,1.4184837,5,0.8813535,10,1.21488965394912,4,0.876357639489852,9
"18",4,2,1,2,2,0,5,1.2206073,4,0.880482,10,1.05492016798614,3,0.960229717860761,5
"19",4,3,3,0,1,3,4,1.2945452,4,0.9338169,11,1.00424247305408,3,0.914100892018565,7
"20",4,4,4,4,5,4,3,1.5968043,5,0.9921503,20,1.38128852666744,4,0.996389053729969,17
